listener_thread started[16164]
Start spider workers...
[2020-04-05 15:11:18,338]-[Process-1-MainThread-(WARNING)Realestate.py:131]:[1]th retry to access[https://www.realestate.com.au/buy/property-house-with-1-bedroom-in-Ringwood, VIC 3134/list-6?source=refinement&numBaths=1&]...
[2020-04-05 15:11:18,469]-[Process-1-MainThread-(INFO)Realestate.py:123]:start to search page[https://www.realestate.com.au/buy/property-house-with-1-bedroom-in-Ringwood, VIC 3134/list-7?source=refinement&numBaths=1&]
[2020-04-05 15:11:34,004]-[Process-1-MainThread-(WARNING)Realestate.py:131]:[1]th retry to access[https://www.realestate.com.au/buy/property-house-with-1-bedroom-in-Ringwood, VIC 3134/list-7?source=refinement&numBaths=1&]...
[2020-04-05 15:11:34,127]-[Process-1-MainThread-(INFO)Realestate.py:123]:start to search page[https://www.realestate.com.au/buy/property-house-with-1-bedroom-in-Ringwood, VIC 3134/list-8?source=refinement&numBaths=1&]
listener_thread started[11016]
Start spider workers...
[2020-04-05 15:12:46,404]-[Process-1-MainThread-(INFO)SpiderWorker.py:26]:Started process[17852]-location[ringwood]...
[2020-04-05 15:12:46,405]-[Process-1-MainThread-(INFO)Realestate.py:84]:Starting to fetch candidates from [https://suggest.realestate.com.au/consumer-suggest/suggestions?max=7&type=suburb%2Cprecinct%2Cregion%2Cstate%2Cpostcode&src=homepage&query=ringwood]...
[2020-04-05 15:12:47,156]-[Process-1-MainThread-(INFO)Realestate.py:103]:checking candidate_location[Ringwood, VIC 3134]
[2020-04-05 15:12:47,157]-[Process-1-MainThread-(INFO)Realestate.py:103]:checking candidate_location[Ringwood East, VIC 3135]
[2020-04-05 15:12:47,157]-[Process-1-MainThread-(INFO)Realestate.py:103]:checking candidate_location[Ringwood North, VIC 3134]
[2020-04-05 15:12:47,157]-[Process-1-MainThread-(INFO)Realestate.py:103]:checking candidate_location[Ringwood, QLD 4343]
[2020-04-05 15:12:47,157]-[Process-1-MainThread-(WARNING)Realestate.py:107]:candidate_location[Ringwood, QLD 4343] is not valid
[2020-04-05 15:12:47,157]-[Process-1-MainThread-(INFO)Realestate.py:103]:checking candidate_location[Ringwood, NSW 2646]
[2020-04-05 15:12:47,157]-[Process-1-MainThread-(WARNING)Realestate.py:107]:candidate_location[Ringwood, NSW 2646] is not valid
[2020-04-05 15:12:47,158]-[Process-1-MainThread-(INFO)Realestate.py:103]:checking candidate_location[Springwood, QLD 4127]
[2020-04-05 15:12:47,158]-[Process-1-MainThread-(WARNING)Realestate.py:107]:candidate_location[Springwood, QLD 4127] is not valid
[2020-04-05 15:12:47,158]-[Process-1-MainThread-(INFO)Realestate.py:103]:checking candidate_location[Springwood, NSW 2777]
[2020-04-05 15:12:47,158]-[Process-1-MainThread-(WARNING)Realestate.py:107]:candidate_location[Springwood, NSW 2777] is not valid
[2020-04-05 15:12:47,260]-[Process-1-MainThread-(INFO)Realestate.py:79]:Starting to crawl the region[Ringwood, VIC 3134]
[2020-04-05 15:12:47,261]-[Process-1-MainThread-(INFO)Realestate.py:123]:start to search page[https://www.realestate.com.au/buy/property-house-with-1-bedroom-between-500000-1000000-in-Ringwood, VIC 3134/list-1?source=refinement&numBaths=1&]
[2020-04-05 15:12:51,589]-[Process-1-MainThread-(WARNING)Realestate.py:131]:[1]th retry to access[https://www.realestate.com.au/buy/property-house-with-1-bedroom-between-500000-1000000-in-Ringwood, VIC 3134/list-1?source=refinement&numBaths=1&]...
[2020-04-05 15:12:52,726]-[Process-1-MainThread-(INFO)Realestate.py:123]:start to search page[https://www.realestate.com.au/buy/property-house-with-1-bedroom-between-500000-1000000-in-Ringwood, VIC 3134/list-2?source=refinement&numBaths=1&]
[2020-04-05 15:12:55,805]-[Process-1-MainThread-(WARNING)Realestate.py:131]:[1]th retry to access[https://www.realestate.com.au/buy/property-house-with-1-bedroom-between-500000-1000000-in-Ringwood, VIC 3134/list-2?source=refinement&numBaths=1&]...
[2020-04-05 15:12:56,948]-[Process-1-MainThread-(INFO)Realestate.py:123]:start to search page[https://www.realestate.com.au/buy/property-house-with-1-bedroom-between-500000-1000000-in-Ringwood, VIC 3134/list-3?source=refinement&numBaths=1&]
[2020-04-05 15:12:58,206]-[Process-1-MainThread-(WARNING)Realestate.py:131]:[1]th retry to access[https://www.realestate.com.au/buy/property-house-with-1-bedroom-between-500000-1000000-in-Ringwood, VIC 3134/list-3?source=refinement&numBaths=1&]...
